date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:36:47	79216/79216	---MCZ	200	added ('OK')	text/html	etag:W/%225d937686-13570%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html	(from )
20:36:48	106/106	---MCZ	200	added ('OK')	text/plain	etag:W/%226656faff-68%22	https://www.radiustheme.com/robots.txt		(from )
20:36:49	2054/2054	---M--	200	added ('OK')	image/png	etag:%225d937712-806%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/img/favicon.png	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/img/favicon.png	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
20:36:50	6052/6052	---MCZ	200	added ('OK')	text/css	etag:W/%225d937700-17a4%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/normalize.css	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/normalize.css	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
20:36:51	6061/6061	---MCZ	200	added ('OK')	text/css	etag:W/%225d937700-17ad%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/main.css	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/main.css	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
20:36:52	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225d9376fd-22688%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/bootstrap.min.css	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/bootstrap.min.css	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
20:36:53	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%225d9376fb-d4b8%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/all.min.css	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/all.min.css	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
20:36:54	3335/3335	---MCZ	200	added ('OK')	text/css	etag:W/%225d93771e-d07%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/fonts/flaticon.css	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/fonts/flaticon.css	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
20:36:55	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%225d9376fb-ce35%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/animate.min.css	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/animate.min.css	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
20:36:56	13900/13900	---MCZ	200	added ('OK')	text/css	etag:W/%225d9376ff-364c%22	https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/jquery.dataTables.min.css	C:/Users/richc/Desktop/gg/www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/css/jquery.dataTables.min.css	(from https://www.radiustheme.com/demo/html/psdboss/akkhor/akkhor/all-expense.html)
